16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

5,16; 	 0.000; 	-7.010; 	108.387; 	 9.540; 	103.429; 	 2.744; 	65.472; 	 9.680; 
5,2; 	 0.000; 	-7.323; 	108.971; 	 8.991; 	105.106; 	 4.878; 	65.929; 	 9.527; 
5,24; 	 0.000; 	-7.323; 	110.670; 	 8.606; 	106.020; 	 4.573; 	66.844; 	10.442; 
5,28; 	 0.000; 	-7.531; 	110.245; 	 8.716; 	106.020; 	 5.793; 	67.606; 	10.976; 
5,32; 	 0.000; 	-7.531; 	110.670; 	 8.991; 	105.411; 	 7.622; 	69.130; 	14.253; 
5,36; 	 0.000; 	-7.010; 	112.900; 	 8.496; 	105.715; 	 7.469; 	69.130; 	14.024; 
5,4; 	 0.000; 	-7.114; 	113.006; 	 9.650; 	105.411; 	 9.756; 	70.198; 	15.015; 
5,44; 	 0.000; 	-7.531; 	113.749; 	 9.430; 	104.801; 	 8.994; 	69.283; 	13.719; 
5,48; 	 0.000; 	-7.949; 	114.705; 	10.089; 	104.953; 	10.137; 	70.045; 	14.939; 
5,52; 	 0.000; 	-7.427; 	115.873; 	 9.430; 	105.106; 	11.738; 	71.569; 	15.701; 
5,56; 	 0.000; 	-7.323; 	117.041; 	 9.210; 	104.496; 	10.671; 	70.502; 	15.244; 
5,6; 	 0.000; 	-7.010; 	117.466; 	 9.155; 	104.801; 	12.652; 	73.094; 	17.530; 
5,64; 	 0.000; 	-8.366; 	116.829; 	10.309; 	106.325; 	13.872; 	73.704; 	19.283; 
5,68; 	 0.000; 	-7.949; 	117.678; 	 9.980; 	105.715; 	14.329; 	74.466; 	19.741; 
5,72; 	 0.000; 	-8.574; 	118.846; 	10.419; 	106.630; 	15.396; 	72.332; 	19.283; 
5,76; 	 0.000; 	-9.200; 	118.740; 	11.188; 	106.325; 	16.539; 	77.133; 	21.570; 
5,8; 	 0.000; 	-8.574; 	120.121; 	11.188; 	106.783; 	17.378; 	76.219; 	21.341; 
5,84; 	 0.000; 	-8.574; 	121.236; 	10.859; 	107.545; 	18.369; 	75.685; 	21.875; 
5,88; 	 0.000; 	-8.157; 	122.297; 	 9.870; 	106.020; 	17.149; 	73.551; 	20.960; 
5,92; 	 0.000; 	-8.887; 	123.359; 	 9.650; 	105.715; 	17.454; 	74.466; 	20.655; 
5,96; 	 0.000; 	-8.783; 	123.572; 	 9.870; 	106.020; 	16.311; 	75.609; 	22.180; 
6; 	 0.000; 	-8.574; 	124.634; 	10.309; 	106.325; 	19.436; 	75.685; 	22.485; 
6,04; 	 0.000; 	-8.262; 	125.589; 	 9.320; 	106.173; 	18.369; 	75.457; 	23.933; 
6,08; 	 0.000; 	-8.783; 	126.333; 	10.639; 	106.325; 	19.741; 	75.762; 	23.399; 
6,12; 	 0.000; 	-8.783; 	127.182; 	11.298; 	106.935; 	19.741; 	77.743; 	23.780; 
6,16; 	 0.000; 	-8.574; 	127.925; 	10.309; 	105.106; 	19.436; 	76.371; 	25.305; 
6,2; 	 0.000; 	-8.992; 	128.881; 	10.529; 	106.630; 	19.436; 	75.685; 	22.485; 
6,24; 	 0.000; 	-8.574; 	129.943; 	 9.210; 	105.411; 	17.607; 	74.771; 	21.570; 
6,28; 	 0.000; 	-8.262; 	130.899; 	 9.540; 	105.868; 	18.216; 	74.313; 	22.637; 
6,32; 	 0.000; 	-8.262; 	130.899; 	10.199; 	106.173; 	19.588; 	73.551; 	22.485; 
6,36; 	 0.000; 	-8.053; 	131.854; 	 8.991; 	105.868; 	17.911; 	73.094; 	21.875; 
6,4; 	 0.000; 	-8.679; 	132.704; 	10.419; 	105.563; 	18.216; 	73.246; 	22.103; 
6,44; 	 0.000; 	-8.366; 	133.553; 	10.749; 	105.715; 	18.369; 	73.551; 	21.341; 
6,48; 	 0.000; 	-8.992; 	133.978; 	10.309; 	106.325; 	18.216; 	75.380; 	21.341; 
6,52; 	 0.000; 	-9.200; 	134.934; 	 9.870; 	105.411; 	16.463; 	73.856; 	21.265; 
6,56; 	 0.000; 	-9.305; 	135.252; 	10.419; 	105.411; 	17.607; 	72.637; 	21.265; 
6,6; 	 0.000; 	-9.200; 	136.261; 	 9.870; 	106.020; 	16.463; 	73.094; 	20.960; 
6,64; 	 0.000; 	-8.574; 	137.323; 	 9.540; 	106.935; 	16.311; 	72.637; 	19.817; 
6,68; 	 0.000; 	-8.992; 	137.748; 	 9.650; 	106.935; 	16.158; 	72.484; 	20.274; 
6,72; 	 0.000; 	-9.305; 	138.279; 	10.199; 	106.783; 	16.006; 	73.094; 	18.140; 
6,76; 	 0.000; 	-8.835; 	138.810; 	10.199; 	106.935; 	15.854; 	69.283; 	18.826; 
6,8; 	 0.000; 	-9.826; 	140.456; 	10.639; 	106.478; 	13.719; 	71.112; 	19.131; 
6,84; 	 0.000; 	-9.618; 	140.721; 	10.968; 	106.935; 	14.329; 	70.502; 	18.674; 
6,88; 	 0.000; 	-9.409; 	141.889; 	10.968; 	106.630; 	12.652; 	71.417; 	16.921; 
6,92; 	 0.000; 	-8.574; 	142.845; 	 9.760; 	106.478; 	12.043; 	67.606; 	17.149; 
6,96; 	 0.000; 	-8.992; 	143.270; 	10.529; 	106.630; 	13.872; 	69.283; 	14.939; 
7; 	 0.000; 	-8.262; 	146.137; 	 9.980; 	106.173; 	10.518; 	65.777; 	13.719; 
7,04; 	 0.000; 	-8.157; 	145.393; 	 9.870; 	106.173; 	 9.451; 	66.082; 	12.805; 
7,08; 	 0.000; 	-8.470; 	146.349; 	10.199; 	106.020; 	 7.774; 	67.606; 	12.652; 
7,12; 	 0.000; 	-8.679; 	148.048; 	10.199; 	105.868; 	 7.165; 	65.167; 	 7.241; 
7,16; 	 0.000; 	-8.783; 	147.305; 	10.529; 	106.630; 	 6.707; 	62.423; 	12.652; 
