16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,88; 	 0.000; 	-5.758; 	84.282; 	 5.199; 	105.868; 	-24.542; 	16.082; 	-13.415; 
6,92; 	 0.000; 	-5.289; 	85.291; 	 4.870; 	105.715; 	-24.238; 	16.692; 	-12.347; 
6,96; 	 0.000; 	-4.820; 	85.928; 	 5.309; 	105.411; 	-23.552; 	17.378; 	-12.576; 
7; 	 0.000; 	-5.654; 	85.185; 	 5.529; 	105.715; 	-21.875; 	18.978; 	-11.128; 
7,04; 	 0.000; 	-5.758; 	85.503; 	 5.529; 	106.325; 	-19.741; 	20.350; 	-8.765; 
7,08; 	 0.000; 	-5.445; 	86.353; 	 5.089; 	105.106; 	-19.741; 	19.741; 	-9.756; 
7,12; 	 0.000; 	-5.654; 	86.353; 	 5.639; 	105.715; 	-19.131; 	20.960; 	-8.460; 
7,16; 	 0.000; 	-6.280; 	86.778; 	 5.529; 	105.715; 	-17.454; 	20.960; 	-8.155; 
7,2; 	 0.000; 	-5.341; 	87.839; 	 5.089; 	105.715; 	-16.539; 	22.180; 	-7.546; 
7,24; 	 0.000; 	-5.289; 	88.689; 	 5.749; 	105.715; 	-16.082; 	22.485; 	-6.631; 
7,28; 	 0.000; 	-5.028; 	89.326; 	 4.870; 	105.106; 	-15.472; 	22.789; 	-6.174; 
7,32; 	 0.000; 	-5.758; 	89.114; 	 4.870; 	105.258; 	-13.643; 	24.009; 	-5.716; 
7,36; 	 0.000; 	-5.758; 	89.857; 	 5.199; 	105.258; 	-12.881; 	24.466; 	-4.497; 
7,4; 	 0.000; 	-5.758; 	90.069; 	 4.760; 	104.648; 	-11.357; 	25.076; 	-3.125; 
7,44; 	 0.000; 	-4.820; 	91.450; 	 3.771; 	104.344; 	-10.594; 	25.838; 	-4.726; 
7,48; 	 0.000; 	-4.715; 	91.556; 	 4.650; 	104.496; 	-9.832; 	27.363; 	-3.659; 
7,52; 	 0.000; 	-5.132; 	92.087; 	 5.089; 	105.106; 	-8.155; 	28.430; 	-2.363; 
7,56; 	 0.000; 	-5.654; 	91.662; 	 5.584; 	106.020; 	-6.936; 	28.887; 	-1.601; 
7,6; 	 0.000; 	-5.341; 	92.936; 	 4.760; 	104.344; 	-6.631; 	28.811; 	-1.372; 
7,64; 	 0.000; 	-5.445; 	93.149; 	 5.089; 	104.496; 	-4.497; 	30.259; 	-0.305; 
7,68; 	 0.000; 	-5.341; 	93.043; 	 5.309; 	105.563; 	-3.582; 	31.173; 	 1.753; 
7,72; 	 0.000; 	-4.715; 	93.892; 	 4.320; 	104.648; 	-2.591; 	32.088; 	 0.457; 
7,76; 	 0.000; 	-5.654; 	94.104; 	 5.309; 	104.801; 	-1.220; 	33.765; 	 1.982; 
7,8; 	 0.000; 	-5.445; 	94.635; 	 5.529; 	104.801; 	-0.610; 	34.070; 	 2.515; 
7,84; 	 0.000; 	-5.706; 	94.954; 	 5.419; 	105.715; 	 0.610; 	35.823; 	 4.726; 
7,88; 	 0.000; 	-5.863; 	95.273; 	 6.188; 	105.868; 	 2.134; 	36.433; 	 5.640; 
7,92; 	 0.000; 	-5.967; 	95.538; 	 8.496; 	105.868; 	 3.811; 	38.262; 	 7.469; 
7,96; 	 0.000; 	-5.341; 	95.857; 	 8.496; 	105.563; 	 4.726; 	38.414; 	 7.927; 
8; 	 0.000; 	-5.237; 	96.494; 	 7.727; 	105.106; 	 4.116; 	38.262; 	 8.155; 
8,04; 	 0.000; 	-5.445; 	96.494; 	 8.771; 	104.801; 	 7.012; 	40.701; 	 9.451; 
8,08; 	 0.000; 	-5.237; 	97.343; 	 7.727; 	104.801; 	 6.174; 	39.024; 	 9.832; 
8,12; 	 0.000; 	-6.071; 	97.449; 	 8.166; 	105.411; 	 8.232; 	41.463; 	11.280; 
8,16; 	 0.000; 	-5.550; 	98.087; 	 8.496; 	105.258; 	 8.994; 	41.768; 	11.433; 
8,2; 	 0.000; 	-6.071; 	98.511; 	 8.386; 	105.106; 	 9.451; 	42.378; 	11.357; 
8,24; 	 0.000; 	-6.071; 	99.042; 	 8.496; 	105.106; 	10.061; 	43.750; 	12.652; 
8,28; 	 0.000; 	-5.967; 	99.786; 	 8.661; 	104.344; 	11.738; 	44.664; 	13.872; 
