16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,12; 	 0.000; 	-0.752; 	-2.367; 	 0.035; 	104.344; 	-8.918; 	-6.174; 	-4.878; 
7,16; 	 0.000; 	-1.690; 	-3.535; 	 1.243; 	104.344; 	-10.594; 	-6.326; 	-5.107; 
7,2; 	 0.000; 	-1.586; 	-3.642; 	 2.232; 	104.953; 	-9.222; 	-6.479; 	-5.869; 
7,24; 	 0.000; 	-1.378; 	-3.535; 	 1.903; 	104.953; 	-11.204; 	-6.479; 	-6.783; 
7,28; 	 0.000; 	-1.690; 	-3.748; 	 2.452; 	105.715; 	-12.271; 	-8.460; 	-6.555; 
7,32; 	 0.000; 	-1.482; 	-4.597; 	 2.123; 	105.106; 	-13.033; 	-6.783; 	-6.936; 
7,36; 	 0.000; 	-1.482; 	-3.111; 	 2.013; 	104.344; 	-13.948; 	-8.460; 	-9.222; 
7,4; 	 0.000; 	-1.690; 	-3.960; 	 2.013; 	105.411; 	-14.558; 	-9.070; 	-8.689; 
7,44; 	 0.000; 	-1.586; 	-3.323; 	 1.793; 	105.106; 	-16.082; 	-10.594; 	-10.290; 
7,48; 	 0.000; 	-1.482; 	-3.748; 	 1.903; 	106.935; 	-17.530; 	-11.814; 	-11.966; 
7,52; 	 0.000; 	-0.960; 	-3.748; 	 1.903; 	104.801; 	-17.759; 	-15.320; 	-10.976; 
7,56; 	 0.000; 	-1.899; 	-3.748; 	 1.463; 	105.106; 	-19.131; 	-12.729; 	-13.415; 
7,6; 	 0.000; 	-1.534; 	-3.535; 	 1.793; 	104.801; 	-20.655; 	-13.033; 	-13.033; 
7,64; 	 0.000; 	-2.003; 	-2.898; 	 1.463; 	104.648; 	-22.027; 	-15.625; 	-14.863; 
