16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

8,04; 	 0.000; 	-0.543; 	-2.792; 	 0.584; 	104.344; 	 0.762; 	 2.744; 	 2.363; 
8,08; 	 0.000; 	-0.752; 	-3.111; 	 1.243; 	104.648; 	-0.305; 	 1.677; 	 1.982; 
8,12; 	 0.000; 	-1.169; 	-3.004; 	 1.683; 	104.496; 	-1.220; 	 2.134; 	 1.677; 
8,16; 	 0.000; 	-0.960; 	-2.580; 	 1.683; 	104.953; 	-2.591; 	 0.762; 	-0.152; 
8,2; 	 0.000; 	-0.960; 	-2.367; 	 1.683; 	104.344; 	-3.506; 	-3.201; 	-1.067; 
8,24; 	 0.000; 	-0.647; 	-2.792; 	 1.353; 	105.563; 	-4.649; 	-3.201; 	-1.372; 
8,28; 	 0.000; 	-0.230; 	-2.792; 	 1.353; 	104.191; 	-5.412; 	-3.659; 	-2.210; 
8,32; 	 0.000; 	-0.647; 	-3.111; 	 1.353; 	104.801; 	-6.936; 	-3.049; 	-2.973; 
8,36; 	 0.000; 	-0.595; 	-2.686; 	 0.914; 	104.191; 	-7.851; 	-5.716; 	-4.802; 
8,4; 	 0.000; 	-2.212; 	-3.217; 	 2.013; 	104.648; 	-8.460; 	-4.040; 	-3.735; 
