16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,48; 	 0.000; 	-1.273; 	-3.854; 	 2.123; 	105.411; 	-11.204; 	-5.564; 	-5.259; 
6,52; 	 0.000; 	-1.169; 	-3.854; 	 1.903; 	104.801; 	-10.290; 	-5.869; 	-3.735; 
6,56; 	 0.000; 	-1.065; 	-3.854; 	 2.123; 	105.106; 	-8.765; 	-4.802; 	-3.049; 
6,6; 	 0.000; 	 0.761; 	-2.686; 	 1.134; 	103.581; 	-8.460; 	-5.107; 	-3.582; 
6,64; 	 0.000; 	-0.022; 	-3.217; 	 1.573; 	103.886; 	-6.783; 	-3.659; 	-1.524; 
6,68; 	 0.000; 	-0.230; 	-3.323; 	 1.134; 	104.191; 	-5.716; 	-2.744; 	-0.305; 
6,72; 	 0.000; 	-0.439; 	-3.217; 	 1.683; 	104.953; 	-4.344; 	-1.677; 	 0.457; 
6,76; 	 0.000; 	-0.647; 	-3.323; 	 2.013; 	105.106; 	-3.049; 	 1.524; 	 1.296; 
6,8; 	 0.000; 	-0.022; 	-3.111; 	 1.793; 	105.106; 	-2.363; 	 1.067; 	 2.287; 
6,84; 	 0.000; 	-0.022; 	-3.323; 	 1.243; 	104.191; 	-1.524; 	 1.524; 	 2.210; 
6,88; 	 0.000; 	-0.230; 	-3.323; 	 1.793; 	104.496; 	 0.305; 	 3.354; 	 4.878; 
6,92; 	 0.000; 	 0.083; 	-3.535; 	 0.914; 	104.801; 	 2.134; 	 3.659; 	 4.344; 
6,96; 	 0.000; 	 0.187; 	-3.748; 	 2.013; 	104.191; 	 2.134; 	 6.402; 	 4.954; 
7; 	 0.000; 	-0.334; 	-3.323; 	 1.793; 	104.191; 	 3.354; 	 4.878; 	 6.174; 
7,04; 	 0.000; 	 0.187; 	-3.111; 	 2.232; 	105.411; 	 4.573; 	 7.012; 	 7.698; 
7,08; 	 0.000; 	 0.187; 	-2.792; 	 1.573; 	104.648; 	 4.573; 	 6.402; 	 7.088; 
7,12; 	 0.000; 	-0.230; 	-3.323; 	 1.628; 	104.801; 	 5.488; 	 8.232; 	 7.927; 
7,16; 	 0.000; 	-0.230; 	-3.323; 	 1.353; 	104.191; 	 7.012; 	 9.756; 	10.442; 
7,2; 	 0.000; 	-0.230; 	-3.111; 	 0.914; 	104.496; 	 7.012; 	 8.841; 	 9.756; 
7,24; 	 0.000; 	 0.187; 	-3.004; 	 1.024; 	103.734; 	 7.774; 	10.213; 	11.128; 
7,28; 	 0.000; 	 0.396; 	-3.535; 	 0.914; 	104.191; 	 9.146; 	 9.908; 	10.671; 
7,32; 	 0.000; 	-0.022; 	-3.323; 	 1.903; 	105.106; 	11.280; 	12.500; 	12.881; 
7,36; 	 0.000; 	 0.187; 	-3.111; 	 1.573; 	104.496; 	12.195; 	12.500; 	12.500; 
7,4; 	 0.000; 	-0.230; 	-2.474; 	 1.134; 	104.648; 	11.433; 	11.890; 	 9.146; 
7,44; 	 0.000; 	-0.282; 	-3.111; 	 1.353; 	104.496; 	13.110; 	12.652; 	14.177; 
7,48; 	 0.000; 	-0.334; 	-2.792; 	 1.683; 	104.953; 	13.567; 	13.567; 	14.558; 
7,52; 	 0.000; 	 0.291; 	-2.686; 	 0.694; 	103.886; 	14.634; 	15.320; 	14.405; 
7,56; 	 0.000; 	-0.022; 	-3.535; 	 1.353; 	104.648; 	15.244; 	14.024; 	17.607; 
7,6; 	 0.000; 	-1.482; 	-4.173; 	 2.672; 	106.020; 	17.302; 	16.692; 	16.235; 
7,64; 	 0.000; 	 0.500; 	-2.580; 	 2.562; 	104.344; 	15.168; 	12.347; 	14.253; 
7,68; 	 0.000; 	-0.230; 	-3.217; 	 1.353; 	103.886; 	17.302; 	16.082; 	16.387; 
