16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,8; 	 0.000; 	-6.906; 	111.732; 	 6.738; 	104.648; 	-27.744; 	55.716; 	-15.549; 
6,84; 	 0.000; 	-6.906; 	113.112; 	 6.848; 	105.106; 	-29.573; 	56.326; 	-15.396; 
6,88; 	 0.000; 	-7.219; 	113.218; 	 6.903; 	105.106; 	-28.506; 	56.326; 	-14.863; 
6,92; 	 0.000; 	-6.593; 	114.917; 	 7.397; 	104.801; 	-31.402; 	55.487; 	-16.463; 
6,96; 	 0.000; 	-6.906; 	115.554; 	 7.287; 	105.106; 	-30.640; 	54.420; 	-17.225; 
7; 	 0.000; 	-6.697; 	117.147; 	 7.067; 	104.801; 	-30.335; 	55.259; 	-16.692; 
7,04; 	 0.000; 	-7.114; 	117.572; 	 7.837; 	104.953; 	-31.402; 	55.182; 	-17.378; 
7,08; 	 0.000; 	-7.531; 	117.253; 	 7.947; 	105.715; 	-29.878; 	55.335; 	-18.597; 
7,12; 	 0.000; 	-7.219; 	120.333; 	 7.947; 	104.801; 	-30.488; 	53.810; 	-17.607; 
7,16; 	 0.000; 	-7.114; 	121.076; 	 7.507; 	104.801; 	-30.640; 	54.115; 	-17.988; 
7,2; 	 0.000; 	-7.531; 	121.501; 	 7.727; 	105.258; 	-30.640; 	54.420; 	-19.055; 
7,24; 	 0.000; 	-7.844; 	122.935; 	 7.287; 	106.020; 	-30.335; 	54.420; 	-17.302; 
