16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,08; 	 0.000; 	-3.046; 	20.994; 	 2.232; 	106.630; 	18.826; 	37.652; 	18.597; 
6,12; 	 0.000; 	-2.212; 	21.206; 	 1.793; 	105.715; 	18.064; 	37.042; 	17.835; 
6,16; 	 0.000; 	-2.942; 	21.844; 	 2.562; 	106.783; 	18.674; 	36.585; 	17.835; 
6,2; 	 0.000; 	-2.525; 	21.578; 	 2.892; 	106.630; 	19.131; 	37.957; 	19.741; 
6,24; 	 0.000; 	-3.359; 	21.631; 	 2.452; 	106.935; 	19.893; 	37.347; 	18.978; 
6,28; 	 0.000; 	-2.994; 	21.631; 	 2.892; 	107.240; 	20.960; 	38.872; 	19.741; 
6,32; 	 0.000; 	-2.629; 	22.162; 	 2.562; 	106.173; 	19.893; 	37.195; 	19.436; 
6,36; 	 0.000; 	-2.942; 	22.481; 	 2.452; 	106.630; 	20.350; 	38.109; 	19.131; 
6,4; 	 0.000; 	-2.733; 	23.118; 	 2.617; 	106.173; 	19.893; 	38.109; 	19.436; 
6,44; 	 0.000; 	-3.464; 	23.224; 	 2.562; 	107.697; 	21.265; 	39.024; 	19.131; 
6,48; 	 0.000; 	-3.046; 	23.755; 	 2.123; 	106.478; 	18.978; 	38.109; 	19.283; 
6,52; 	 0.000; 	-3.046; 	24.073; 	 2.782; 	106.173; 	19.131; 	36.890; 	18.064; 
6,56; 	 0.000; 	-3.151; 	24.073; 	 2.232; 	106.325; 	19.131; 	37.805; 	19.436; 
6,6; 	 0.000; 	-3.359; 	23.967; 	 2.672; 	106.935; 	20.046; 	37.347; 	18.826; 
6,64; 	 0.000; 	-2.525; 	24.392; 	 2.452; 	106.630; 	19.588; 	37.042; 	18.216; 
6,68; 	 0.000; 	-3.359; 	24.604; 	 3.112; 	106.935; 	18.521; 	36.204; 	16.997; 
6,72; 	 0.000; 	-2.629; 	25.454; 	 2.342; 	105.868; 	18.064; 	36.280; 	17.759; 
6,76; 	 0.000; 	-2.942; 	25.454; 	 2.892; 	106.935; 	18.064; 	35.289; 	15.320; 
6,8; 	 0.000; 	-2.003; 	26.941; 	 1.353; 	105.411; 	15.777; 	34.070; 	14.100; 
6,84; 	 0.000; 	-1.795; 	27.896; 	 1.463; 	105.411; 	15.930; 	33.308; 	13.948; 
6,88; 	 0.000; 	-1.586; 	27.896; 	 1.024; 	104.344; 	14.482; 	33.765; 	13.186; 
6,92; 	 0.000; 	-1.690; 	27.578; 	 1.573; 	104.953; 	14.024; 	33.460; 	12.805; 
6,96; 	 0.000; 	-1.482; 	28.215; 	 1.353; 	104.801; 	12.805; 	31.631; 	11.433; 
